,industry,function,usecase,paragraph_id,sentence,usecase_indication
26,mc,mc,mckinsey global institute,26,lisa renaud served as senior editor ,0.66577566
1629,scientific / engineering,transactions,"greater the variety , the easier it is for algorithms to learn",1629,we linearly project the new data scientist supply between and based on historical integrated postsecondary education data system ipeds graduation figures ,0.66504
1153,machine learning,top - down instruction manual,"to give the algorithm “ experiences ” ( training data ) and a generalized strategy for learning , then let the algorithm identify patterns , associations , and insights from the data — in short , to train the system rather than program it",1153,in copenhagen road sensors detect approaching cyclists and turn signals green ,0.6647986
1352,providing consultation and advice,providing consultation,providing consultation and advice to others,1352,teachers ,0.664192
506,mc,analysis,expert interviews ; mckinsey global institute analysis,506,the data and analytics revolution gains momentum ,0.66368365
499,product development,development,up to 50 % lower product development cost up to 25 % lower operating cost up to 30 % gross margin increase,499,the data and analytics revolution gains momentum ,0.66368365
434,data,data,growth in the volume of data,434,the data and analytics revolution gains momentum ,0.66368365
479,quarterly,quarterly,quarterly,479,the data and analytics revolution gains momentum ,0.66368365
453,traffic control,multiagent reinforcement learning,reinforcement learning,453,the data and analytics revolution gains momentum ,0.66368365
924,outcomes and responses data,data,distinctions among individuals ▪ outcomes and responses data,924, per person ,0.6608025
69,aggregate,aggregate,aggregate,69,aggregate ,0.66045636
73,volume of data and use cases,use cases,volume of data and use cases per player analyze,73,aggregate ,0.66045636
236,"education , travel and leisure , media , retail , and advertising",advertising,micro,236,consumers could save on car purchases fuel and parking ,0.655422
1171,associations,associations,discover associations,1171, martin makary and michael daniel medical error ,0.65522987
1965,staffing levels and asset placement,real time,optimize staffing levels and asset placement in real time,1965,data richness ,0.6527352
1775,exhibit,exhibit,exhibit,1775,data richness ,0.6527352
1885,"mobile , social media , location , etc .",mobile,personalize public services to target individual citizens based on multi - modal data,1885,data richness ,0.6527352
1828,"scans , biopsies , audio , and other data",survey,diagnose known diseases,1828,data richness ,0.6527352
1857,predictive analytics,predictive analytics,predictive analytics,1857,data richness ,0.6527352
1800,exhibit,exhibit,exhibit,1800,data richness ,0.6527352
2022,workplace automation,automation,workplace automation,2022,data richness ,0.6527352
2052,internet of things,internet of things,the internet of things : mapping the value beyond the hype,2052,data richness ,0.6527352
1912,services / offerings,optimize pricing,optimize pricing,1912,data richness ,0.6527352
1993,health practitioners,health practitioners,health,1993,data richness ,0.6527352
1940,call - center routing for individual calls,call - center routing for individual calls,optimize call - center routing,1940,data richness ,0.6527352
1190,"regression ( e . g . , logistic",regression,regression,1190,the coming wave ,0.6517222
589,gathering data from internal systems and external sources,analytic,gathering data from internal systems and external sources ▪ appending key ▪ creating an analytic ▪ enhancing data,589,data from the nhgri genome sequencing program national human genome research center available at ,0.6513661
1618,y,y,y,1618,after sales ,0.6504106
598,automating,automating,automating,598,capability building ,0.6499676
137,analytics,analytics,legacy companies have to do the hard work of overhauling or changing existing systems,137,capability building ,0.6499676
507,es,duplicate,duplicate,507,still uncaptured ,0.6496193
528,retail sector,retail,potential value captured,528,eu public ,0.6492307
111,penetration of gps - enabled,gps - enabled,penetration of gps - enabled,111,eu public ,0.6492307
1530,10,10,10 – 40 gross margin,1530,categories ,0.64478177
1500,manufacturing,manufacturing,most value being captured by a small group of advanced players,1500,categories ,0.64478177
1582,use cases,use cases,estimated the value potential,1582,adoption rate today compared to ,0.64287794
